NU_INSCRICAO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;
210053591197;531.8;601;581.9;684.4;620;
210052383046;0;0;0;0;0;
210054002983;468.8;519.1;484.7;394.1;520;
210053326287;385.3;407.4;446.8;448.8;460;
210051795258;594.8;556.8;548.2;705.6;900;
210054437150;477.7;478.1;444.2;602.6;820;
210052357743;479.8;483.8;454.6;454.9;620;
210054294760;392.8;423.4;379.7;587.9;560;
210051113178;521.6;594.3;585.2;503.4;700;
210051283612;398.7;377.4;479.2;546.7;840;
210051692982;420.6;407.8;371.2;391.3;480;
210051195444;513.3;421;483.7;552.9;680;
210051707699;588.2;665;651;788.5;900;
210052230140;694.3;698.9;646.6;854.8;940;
210051279395;428.9;399.2;352.7;579.6;680;
210053997642;473.2;409.4;429.5;475.9;640;
210054292261;521.5;575.4;594.2;690.3;800;
210052851373;0;0;0;0;0;
210054014331;483.4;566.2;513.4;462.5;840;
210052958581;518;463;361.6;480.3;440;
210051548749;475.1;535.8;429.3;443;520;
210051905155;687.7;729.3;707.6;803.9;940;
210053361427;411.1;548.5;567.9;462.1;840;
210052710675;492.2;519.3;513;418;560;
210054016439;457.8;463.8;418.2;485.9;760;
210053710996;705.2;724.7;601.3;763.3;840;
210052705907;439.2;403;479.1;389.5;620;
210052394495;503;570.3;467.4;377.7;660;
210053821746;0;0;0;0;0;
210053654773;0;0;0;0;0;
210052415693;433.9;522.8;551.2;594.8;760;
210053587869;645.6;723.2;619.3;763.5;600;
210051292355;519.3;518.2;518.6;618.4;680;
210052677086;396.2;372.9;379.2;417.7;580;
